experiment,rmse,rmse_low,rmse_high,r2,r2_low,r2_high,mcc,mcc_low,mcc_high
onehot_rf,2941.86647854388,2872.9606463932064,3007.6417085939793,0.4465084798513306,0.42282843884320487,0.46969169293279234,0.2766071797940255,0.24181241464383332,0.3099125056331584
protbert_rf,2926.5998688728882,2853.5894570722107,2994.0897096156455,0.4522381850388545,0.42703956672880683,0.47553700435950846,0.3190677912318527,0.2848375088344539,0.35140091173642374
esm2_rf,2869.6000550142,2801.1943854577953,2934.748584593643,0.4733673264886016,0.45069716961957534,0.4969851019277739,0.3225117233472155,0.28899793032787463,0.3548172666852961
esm2_mlp,2908.8426376506263,2833.5705125635623,2978.2159752007196,0.4588651412452711,0.4345944492881777,0.48316739024011923,0.3836227852692996,0.3534663591546998,0.41632297653462275
